trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,11594752077930066556,['Group 1'],maps/g4/jump.json,[10],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 288.17151045799255)]",{0: []},{0: []}
2,10553556605905673185,['Group 1'],maps/g4/jump.json,[10],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 278.38355898857117)]",{0: []},{0: []}
3,13947616516110259629,['Group 1'],maps/g4/jump.json,[10],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 289.0057957172394)]",{0: []},{0: []}
4,1386946145491861054,['Group 1'],maps/g4/jump.json,[10],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 279.3826196193695)]",{0: []},{0: []}
5,6477113727540975936,['Group 1'],maps/g4/jump.json,[10],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 275.7624087333679)]",{0: []},{0: []}
1,2445437468742795205,['Group 1'],maps/g4/jump.json,[25],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 290.69921922683716)]",{0: []},{0: []}
2,10247761641030993556,['Group 1'],maps/g4/jump.json,[25],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 300.08252358436584)]",{0: []},{0: []}
3,2461651356901342571,['Group 1'],maps/g4/jump.json,[25],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 300.6376521587372)]",{0: []},{0: []}
4,7109952179136822388,['Group 1'],maps/g4/jump.json,[25],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 289.3873109817505)]",{0: []},{0: []}
5,4493438214823152814,['Group 1'],maps/g4/jump.json,[25],[1],['F'],[477.97004349308787],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],[],"[('Group 1', 289.9038174152374)]",{0: []},{0: []}
1,18131951131372893387,['Group 1'],maps/g4/jump.json,[50],[6],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 453.457560300827)]","{0: [(204.470381274548, 362.411571639776), (210.101000944972, 366.20171562016), (447.756678236322, 387.50380285885), (455.432702172332, 458.014393218053), (605.700649066749, 428.211344894478), (620.65068351683, 424.525934158529)]}","{0: [(210.101000944972, 366.20171562016), (215.859028049928, 374.1878628347), (447.756678236322, 387.50380285885), (456.200304565933, 465.065452253974), (620.65068351683, 424.525934158529), (614.8804025344444, 427.5511419536687)]}"
2,12272027072284356065,['Group 1'],maps/g4/jump.json,[50],[6],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 459.31435084342957)]","{0: [(204.082661029999, 361.781912132673), (209.674508675967, 365.509090162346), (459.117260408235, 383.472910666203), (565.153974573728, 410.87018619477), (612.984755492792, 426.595981643083), (616.707466443044, 427.894588432629)]}","{0: [(209.674508675967, 365.509090162346), (215.609144894727, 374.090336354664), (459.117260408235, 383.472910666203), (575.757645990277, 413.609913747626), (616.707466443044, 427.894588432629), (614.8923010775359, 427.5632611391209)]}"
3,281359090509362625,['Group 1'],maps/g4/jump.json,[50],[7],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[1],[0],[0],['Group 1'],"[('Group 1', 439.7872290611267)]","{0: [(203.15419832323, 361.211778285417), (208.653199698522, 364.881942930365), (215.794518753259, 374.091391150283), (448.358740839527, 384.303201821473), (456.297132656985, 459.035980635097), (604.596708453218, 430.057055902795), (619.347282114667, 426.411835641428)]}","{0: [(208.653199698522, 364.881942930365), (215.794518753259, 374.091391150283), (215.794518753259, 374.091391150283), (448.358740839527, 384.303201821473), (457.090971838731, 466.509258516459), (619.347282114667, 426.411835641428), (614.8931274686395, 427.57971892576904)]}"
4,14434419529977727573,['Group 1'],maps/g4/jump.json,[50],[6],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 441.09596133232117)]","{0: [(204.188542657579, 363.625553681847), (209.790978466305, 367.537095866438), (455.339105290986, 383.699964107342), (568.07226100065, 402.388211858208), (612.722290351271, 427.175213424255), (616.059961729236, 429.467031103351)]}","{0: [(209.790978466305, 367.537095866438), (215.491638731548, 374.030217740897), (455.339105290986, 383.699964107342), (579.345576571616, 404.257036633295), (616.059961729236, 429.467031103351), (614.9082646426883, 427.5605971486894)]}"
5,12880696379294411474,['Group 1'],maps/g4/jump.json,[50],[8],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[1],[0],[0],['Group 1'],"[('Group 1', 454.07492232322693)]","{0: [(206.553782808104, 365.553901594858), (212.392742631883, 369.65827857075), (215.662020953048, 373.942502456711), (452.727249519394, 387.699222296185), (455.482485343791, 459.700601552216), (607.973110587556, 428.241866266971), (623.194620753688, 424.375978945887), (614.865090997697, 427.518541746498)]}","{0: [(212.392742631883, 369.65827857075), (215.662020953048, 373.942502456711), (215.662020953048, 373.942502456711), (452.727249519394, 387.699222296185), (455.758008926231, 466.900739477819), (623.194620753688, 424.375978945887), (614.865090997697, 427.518541746498), (614.8905203564499, 427.5712741526164)]}"
1,12818716037565039671,['Group 1'],maps/g4/jump.json,[100],[5],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 320.651522397995)]","{0: [(205.696992941227, 368.472054973507), (454.399517082205, 430.152073411435), (593.502034112955, 431.473655716633), (607.41228581603, 431.605813947153), (614.834341914844, 427.587712399892)]}","{0: [(211.450273778318, 372.868247287264), (454.399517082205, 430.152073411435), (607.41228581603, 431.605813947153), (614.834341914844, 427.587712399892), (614.8908844990628, 427.5711584160506)]}"
2,6184627188681150418,['Group 1'],maps/g4/jump.json,[100],[4],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 314.2051303386688)]","{0: [(204.566271597191, 368.280314967689), (455.072344350044, 430.691614448549), (593.879872781361, 430.767407095804), (607.760625624493, 430.77498636053)]}","{0: [(210.206480299879, 372.657333280864), (455.072344350044, 430.691614448549), (607.760625624493, 430.77498636053), (614.8880129146003, 427.5647645170748)]}"
3,8310992282215956579,['Group 1'],maps/g4/jump.json,[100],[4],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 308.2536725997925)]","{0: [(206.057645692042, 369.317310437286), (456.064671314209, 429.141817005542), (598.791330190664, 429.558709620973), (613.063996078309, 429.600398882516)]}","{0: [(211.846991804215, 373.798028297421), (456.064671314209, 429.141817005542), (613.063996078309, 429.600398882516), (614.9010330154135, 427.5803490027586)]}"
4,18192760891356262618,['Group 1'],maps/g4/jump.json,[100],[5],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 281.806143283844)]","{0: [(206.137816582776, 368.987109374843), (453.706875698173, 428.293564570069), (592.638882947699, 428.76543011083), (606.532083672652, 428.812616664906), (614.703157709106, 427.586645900267)]}","{0: [(211.935179784023, 373.434807128734), (453.706875698173, 428.293564570069), (606.532083672652, 428.812616664906), (614.703157709106, 427.586645900267), (614.8908429978596, 427.570796382163)]}"
5,3505754560258484084,['Group 1'],maps/g4/jump.json,[100],[4],['S'],[0.0],477.97004349308787,"[148.164184570313, 324.510131835937]","[614.890869140625, 427.571105957031]",[0],[0],[0],['Group 1'],"[('Group 1', 225.49784326553345)]","{0: [(204.412907623455, 368.31200832004), (456.804160761394, 429.786039851924), (604.479500332791, 429.262959423602), (619.24703428993, 429.210651380769)]}","{0: [(210.037779928769, 372.69219596845), (456.804160761394, 429.786039851924), (619.24703428993, 429.210651380769), (614.8854977100981, 427.58552184835645)]}"
